,blimp_v_sub
irregular_plural_subject_verb_agreement_2,77.0
left_branch_island_echo_question,3.0
expletive_it_object_raising,97.0
animate_subject_passive,27.0
transitive,151.0
regular_plural_subject_verb_agreement_2,72.0
irregular_plural_subject_verb_agreement_1,67.0
wh_questions_subject_gap,34.0
passive_2,103.0
wh_vs_that_with_gap,31.0
npi_present_1,12.0
determiner_noun_agreement_with_adj_irregular_1,95.0
principle_A_domain_1,4.0
principle_A_case_1,70.0
only_npi_scope,7.0
irregular_past_participle_verbs,59.0
passive_1,105.0
ellipsis_n_bar_1,13.0
wh_island,4.0
determiner_noun_agreement_irregular_1,84.0
distractor_agreement_relative_clause,64.0
principle_A_case_2,58.0
wh_vs_that_no_gap_long_distance,47.0
distractor_agreement_relational_noun,59.0
sentential_subject_island,9.0
wh_vs_that_with_gap_long_distance,23.0
wh_questions_object_gap,7.0
npi_present_2,13.0
drop_argument,44.0
determiner_noun_agreement_with_adjective_1,104.0
existential_there_subject_raising,44.0
wh_questions_subject_gap_long_distance,5.0
determiner_noun_agreement_with_adj_irregular_2,87.0
coordinate_structure_constraint_object_extraction,26.0
only_npi_licensor_present,5.0
existential_there_quantifiers_2,8.0
determiner_noun_agreement_1,94.0
regular_plural_subject_verb_agreement_1,73.0
wh_vs_that_no_gap,32.0
ellipsis_n_bar_2,23.0
principle_A_domain_2,20.0
adjunct_island,16.0
determiner_noun_agreement_with_adj_2,99.0
intransitive,52.0
principle_A_domain_3,34.0
animate_subject_trans,35.0
matrix_question_npi_licensor_present,1.0
complex_NP_island,4.0
existential_there_quantifiers_1,56.0
irregular_past_participle_adjectives,27.0
determiner_noun_agreement_irregular_2,72.0
principle_A_reconstruction,6.0
causative,45.0
existential_there_object_raising,74.0
superlative_quantifiers_1,3.0
determiner_noun_agreement_2,100.0
tough_vs_raising_1,45.0
anaphor_gender_agreement,28.0
coordinate_structure_constraint_complex_left_branch,13.0
principle_A_c_command,16.0
tough_vs_raising_2,24.0
inchoative,44.0
sentential_negation_npi_licensor_present,28.0
left_branch_island_simple_question,23.0
superlative_quantifiers_2,11.0
sentential_negation_npi_scope,14.0
anaphor_number_agreement,38.0
