stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9
1,Tracy,passed,these,art,galleries.,+
2,Tracy,selected,these,art,galleries.,-
3,Sarah,has,sounded,like,these,children.,+
4,Sarah,has,potted,like,these,children.,-
5,Erin,fires,that,waiter.,+,
6,Erin,watches,that,waiter.,-,
7,Most,children,return,to,those,senators.,+
8,Most,children,journey,to,those,senators.,-
9,The,Impressionists,impress,those,hospitals.,+
10,The,Impressionists,hitch,those,hospitals.,-
11,Carl,references,this,essay.,+,
12,Carl,measures,this,essay.,-,
13,The,Borgias,should,pass,these,college,campuses.,+
14,The,Borgias,should,smell,these,college,campuses.,-
15,This,mouth,astounds,these,actresses.,+
16,This,mouth,terrifies,these,actresses.,-
17,The,guy,researches,this,brochure.,+
18,The,guy,strikes,this,brochure.,-
19,Boys,hadn't,criticized,that,high,school.,+
20,Boys,hadn't,unloaded,that,high,school.,-
21,An,actor,would,drop,by,this,bank.,+
22,An,actor,would,shelter,by,this,bank.,-
23,The,turtle,alarmed,these,legislatures.,+
24,The,turtle,heated,these,legislatures.,-
25,The,Borgias,attack,those,customers.,+
26,The,Borgias,cover,those,customers.,-
27,Christopher,hated,those,stories.,+,
28,Christopher,guided,those,stories.,-,
29,Frank,doesn't,upset,that,actress.,+
30,Frank,doesn't,grow,that,actress.,-
