,blimp_n_sub
irregular_plural_subject_verb_agreement_2,39.0
left_branch_island_echo_question,14.0
expletive_it_object_raising,19.0
animate_subject_passive,114.0
transitive,48.0
regular_plural_subject_verb_agreement_2,30.0
irregular_plural_subject_verb_agreement_1,23.0
wh_questions_subject_gap,14.0
passive_2,50.0
wh_vs_that_with_gap,17.0
npi_present_1,8.0
determiner_noun_agreement_with_adj_irregular_1,64.0
principle_A_domain_1,12.0
principle_A_case_1,21.0
only_npi_scope,9.0
irregular_past_participle_verbs,56.0
passive_1,40.0
ellipsis_n_bar_1,31.0
wh_island,24.0
determiner_noun_agreement_irregular_1,68.0
distractor_agreement_relative_clause,22.0
principle_A_case_2,45.0
wh_vs_that_no_gap_long_distance,18.0
distractor_agreement_relational_noun,19.0
sentential_subject_island,12.0
wh_vs_that_with_gap_long_distance,14.0
wh_questions_object_gap,22.0
npi_present_2,9.0
drop_argument,12.0
determiner_noun_agreement_with_adjective_1,72.0
existential_there_subject_raising,18.0
wh_questions_subject_gap_long_distance,24.0
determiner_noun_agreement_with_adj_irregular_2,68.0
coordinate_structure_constraint_object_extraction,11.0
only_npi_licensor_present,6.0
existential_there_quantifiers_2,5.0
determiner_noun_agreement_1,64.0
regular_plural_subject_verb_agreement_1,44.0
wh_vs_that_no_gap,14.0
ellipsis_n_bar_2,45.0
principle_A_domain_2,28.0
adjunct_island,31.0
determiner_noun_agreement_with_adj_2,71.0
intransitive,20.0
principle_A_domain_3,24.0
animate_subject_trans,20.0
matrix_question_npi_licensor_present,0.0
complex_NP_island,27.0
existential_there_quantifiers_1,40.0
irregular_past_participle_adjectives,9.0
determiner_noun_agreement_irregular_2,64.0
principle_A_reconstruction,18.0
causative,38.0
existential_there_object_raising,19.0
superlative_quantifiers_1,15.0
determiner_noun_agreement_2,63.0
tough_vs_raising_1,35.0
anaphor_gender_agreement,36.0
coordinate_structure_constraint_complex_left_branch,13.0
principle_A_c_command,15.0
tough_vs_raising_2,16.0
inchoative,17.0
sentential_negation_npi_licensor_present,16.0
left_branch_island_simple_question,10.0
superlative_quantifiers_2,20.0
sentential_negation_npi_scope,10.0
anaphor_number_agreement,61.0
