,blimp_v_sub
irregular_plural_subject_verb_agreement_2,74.0
left_branch_island_echo_question,6.0
expletive_it_object_raising,130.0
animate_subject_passive,50.0
transitive,205.0
regular_plural_subject_verb_agreement_2,73.0
irregular_plural_subject_verb_agreement_1,92.0
wh_questions_subject_gap,56.0
passive_2,131.0
wh_vs_that_with_gap,57.0
npi_present_1,18.0
determiner_noun_agreement_with_adj_irregular_1,95.0
principle_A_domain_1,5.0
principle_A_case_1,90.0
only_npi_scope,18.0
irregular_past_participle_verbs,60.0
passive_1,177.0
ellipsis_n_bar_1,27.0
wh_island,17.0
determiner_noun_agreement_irregular_1,86.0
distractor_agreement_relative_clause,78.0
principle_A_case_2,116.0
wh_vs_that_no_gap_long_distance,66.0
distractor_agreement_relational_noun,82.0
sentential_subject_island,14.0
wh_vs_that_with_gap_long_distance,29.0
wh_questions_object_gap,21.0
npi_present_2,29.0
drop_argument,62.0
determiner_noun_agreement_with_adjective_1,95.0
existential_there_subject_raising,76.0
wh_questions_subject_gap_long_distance,12.0
determiner_noun_agreement_with_adj_irregular_2,91.0
coordinate_structure_constraint_object_extraction,28.0
only_npi_licensor_present,13.0
existential_there_quantifiers_2,3.0
determiner_noun_agreement_1,105.0
regular_plural_subject_verb_agreement_1,116.0
wh_vs_that_no_gap,69.0
ellipsis_n_bar_2,14.0
principle_A_domain_2,27.0
adjunct_island,9.0
determiner_noun_agreement_with_adj_2,95.0
intransitive,81.0
principle_A_domain_3,37.0
animate_subject_trans,30.0
matrix_question_npi_licensor_present,0.0
complex_NP_island,15.0
existential_there_quantifiers_1,35.0
irregular_past_participle_adjectives,66.0
determiner_noun_agreement_irregular_2,100.0
principle_A_reconstruction,11.0
causative,70.0
existential_there_object_raising,123.0
superlative_quantifiers_1,3.0
determiner_noun_agreement_2,98.0
tough_vs_raising_1,68.0
anaphor_gender_agreement,41.0
coordinate_structure_constraint_complex_left_branch,20.0
principle_A_c_command,14.0
tough_vs_raising_2,26.0
inchoative,86.0
sentential_negation_npi_licensor_present,32.0
left_branch_island_simple_question,29.0
superlative_quantifiers_2,23.0
sentential_negation_npi_scope,19.0
anaphor_number_agreement,66.0
