stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
1,This,committee,can,shock,which,student?,+
2,This,committee,can,greet,which,student?,-
3,Victoria,has,cleaned,what,candles?,+
4,Victoria,has,checked,what,candles?,-
5,Monet,does,take,what,deer?,+
6,Monet,does,fear,what,deer?,-
7,This,actor,is,touring,what,oasis?,+
8,This,actor,is,observing,what,oasis?,-
9,Kayla,has,remembered,which,brochure?,+
10,Kayla,has,removed,which,brochure?,-
11,Joel,was,descending,what,steps?,+
12,Joel,was,overlooking,what,steps?,-
13,Carl,might,hide,what,newspaper,article?,+
14,Carl,might,expose,what,newspaper,article?,-
15,Suzanne,was,watching,what,actresses?,+
16,Suzanne,was,hiding,what,actresses?,-
17,Stephanie,had,criticized,what,senators?,+
18,Stephanie,had,exploited,what,senators?,-
19,Lucille,can,observe,what,waiters?,+
20,Lucille,can,nominate,what,waiters?,-
21,Samantha,is,curing,what,men?,+
22,Samantha,is,rescuing,what,men?,-
23,Susan,is,concealing,which,child?,+
24,Susan,is,capturing,which,child?,-
25,Diane,had,astounded,which,doctor?,+
26,Diane,had,nourished,which,doctor?,-
27,The,cashier,might,disturb,which,organization?,+
28,The,cashier,might,trick,which,organization?,-
29,Stacey,will,alarm,what,waitresses?,+
30,Stacey,will,cite,what,waitresses?,-
