,blimp_n_sub
irregular_plural_subject_verb_agreement_2,48.0
left_branch_island_echo_question,3.0
expletive_it_object_raising,1.0
animate_subject_passive,26.0
transitive,11.0
regular_plural_subject_verb_agreement_2,56.0
irregular_plural_subject_verb_agreement_1,41.0
wh_questions_subject_gap,1.0
passive_2,12.0
wh_vs_that_with_gap,5.0
npi_present_1,5.0
determiner_noun_agreement_with_adj_irregular_1,39.0
principle_A_domain_1,0.0
principle_A_case_1,18.0
only_npi_scope,0.0
irregular_past_participle_verbs,29.0
passive_1,20.0
ellipsis_n_bar_1,0.0
wh_island,13.0
determiner_noun_agreement_irregular_1,36.0
distractor_agreement_relative_clause,18.0
principle_A_case_2,6.0
wh_vs_that_no_gap_long_distance,35.0
distractor_agreement_relational_noun,18.0
sentential_subject_island,0.0
wh_vs_that_with_gap_long_distance,10.0
wh_questions_object_gap,0.0
npi_present_2,14.0
drop_argument,5.0
determiner_noun_agreement_with_adjective_1,51.0
existential_there_subject_raising,22.0
wh_questions_subject_gap_long_distance,0.0
determiner_noun_agreement_with_adj_irregular_2,40.0
coordinate_structure_constraint_object_extraction,0.0
only_npi_licensor_present,0.0
existential_there_quantifiers_2,39.0
determiner_noun_agreement_1,44.0
regular_plural_subject_verb_agreement_1,38.0
wh_vs_that_no_gap,38.0
ellipsis_n_bar_2,1.0
principle_A_domain_2,0.0
adjunct_island,0.0
determiner_noun_agreement_with_adj_2,60.0
intransitive,11.0
principle_A_domain_3,2.0
animate_subject_trans,6.0
matrix_question_npi_licensor_present,0.0
complex_NP_island,0.0
existential_there_quantifiers_1,8.0
irregular_past_participle_adjectives,5.0
determiner_noun_agreement_irregular_2,41.0
principle_A_reconstruction,0.0
causative,13.0
existential_there_object_raising,14.0
superlative_quantifiers_1,0.0
determiner_noun_agreement_2,50.0
tough_vs_raising_1,7.0
anaphor_gender_agreement,10.0
coordinate_structure_constraint_complex_left_branch,29.0
principle_A_c_command,2.0
tough_vs_raising_2,10.0
inchoative,24.0
sentential_negation_npi_licensor_present,21.0
left_branch_island_simple_question,14.0
superlative_quantifiers_2,3.0
sentential_negation_npi_scope,25.0
anaphor_number_agreement,7.0
