stim1,stim2,stim3
1,他们上个月到底勾结了什么黑道?,+
2,什么黑道他们上个月到底勾结了?,-
3,你们前天究竟转换成了什么信号?,+
4,什么信号你们前天究竟转换成了?,-
5,她们上个月究竟引爆了什么核弹?,+
6,什么核弹她们上个月究竟引爆了?,-
7,他们上个月到底加快了什么发展?,+
8,什么发展他们上个月到底加快了?,-
9,她们上周究竟把我掌控了什么东西?,+
10,什么东西她们上周究竟把我掌控了?,-
11,你们上个月到底喜欢了什么鸟?,+
12,什么鸟你们上个月到底喜欢了?,-
13,你们上个月到底筹足了什么美金?,+
14,什么美金你们上个月到底筹足了?,-
15,她们上个月到底走访了什么搬迁户?,+
16,什么搬迁户她们上个月到底走访了?,-
17,他们去年到底进来做了什么顶位?,+
18,什么顶位他们去年到底进来做了?,-
19,她们上个月究竟迎接了什么千年?,+
20,什么千年她们上个月究竟迎接了?,-
21,她们上个月究竟准备了什么材料?,+
22,什么材料她们上个月究竟准备了?,-
23,她们上个月到底维护了什么正义?,+
24,什么正义她们上个月到底维护了?,-
25,她们上周究竟bill了什么cash?,+
26,什么cash她们上周究竟bill了?,-
27,你们上个月到底安排了什么时间?,+
28,什么时间你们上个月到底安排了?,-
29,他们上个月究竟浪费了什么人生?,+
30,什么人生他们上个月究竟浪费了?,-
31,她们上个月究竟发行了什么国债?,+
32,什么国债她们上个月究竟发行了?,-
33,他们上个月到底招待了什么嫌疑犯?,+
34,什么嫌疑犯他们上个月到底招待了?,-
35,你们去年到底追赶上了什么花季?,+
36,什么花季你们去年到底追赶上了?,-
37,她们上个月到底违反了什么禁令?,+
38,什么禁令她们上个月到底违反了?,-
39,她们上个月究竟乘坐了什么专机?,+
40,什么专机她们上个月究竟乘坐了?,-
41,她们上个月到底喜欢了什么图片?,+
42,什么图片她们上个月到底喜欢了?,-
43,他们上个月到底结束了什么审判?,+
44,什么审判他们上个月到底结束了?,-
45,他上个月究竟打压迫害了什么人士?,+
46,什么人士他上个月究竟打压迫害了?,-
47,他们上个月究竟交换了什么意见?,+
48,什么意见他们上个月究竟交换了?,-
49,你们上个月究竟介入了什么保障?,+
50,什么保障你们上个月究竟介入了?,-
51,你们上个月到底举办了什么演习?,+
52,什么演习你们上个月到底举办了?,-
53,她们上个月究竟寻找了什么旅?,+
54,什么旅她们上个月究竟寻找了?,-
55,你们上个月到底参与了什么挖掘?,+
56,什么挖掘你们上个月到底参与了?,-
57,你上个月到底属於密集了什么产业?,+
58,什么产业你上个月到底属於密集了?,-
59,他们上个月究竟丢掷了什么石头?,+
60,什么石头他们上个月究竟丢掷了?,-
61,她去年到底xian-了什么逻辑?,+
62,什么逻辑她去年到底xian-了?,-
63,他们上个月究竟暂停了什么航班?,+
64,什么航班他们上个月究竟暂停了?,-
65,你们上个月到底强求了什么约定?,+
66,什么约定你们上个月到底强求了?,-
67,他们上个月究竟冲进了什么火场?,+
68,什么火场他们上个月究竟冲进了?,-
69,你们上个月究竟吸引了什么消费者?,+
70,什么消费者你们上个月究竟吸引了?,-
71,她们上个月究竟推动了什么发展?,+
72,什么发展她们上个月究竟推动了?,-
73,你们上个月究竟集中了什么力量?,+
74,什么力量你们上个月究竟集中了?,-
75,他们上个月到底身中了什么刀?,+
76,什么刀他们上个月到底身中了?,-
77,她们上个月究竟培训了什么人才?,+
78,什么人才她们上个月究竟培训了?,-
79,你们上个月到底心存了什么吝啬?,+
80,什么吝啬你们上个月到底心存了?,-
81,她们上个月究竟加上了什么现金?,+
82,什么现金她们上个月究竟加上了?,-
83,他们上个月到底继续了什么疯狂?,+
84,什么疯狂他们上个月到底继续了?,-
85,他们上个月究竟探访了什么监狱?,+
86,什么监狱他们上个月究竟探访了?,-
87,你们上个月到底追求了什么和平?,+
88,什么和平你们上个月到底追求了?,-
89,她们上个月到底发扬了什么民主?,+
90,什么民主她们上个月到底发扬了?,-
91,你们上周究竟应试成了什么名师?,+
92,什么名师你们上周究竟应试成了?,-
93,你们上个月到底加上了什么存款?,+
94,什么存款你们上个月到底加上了?,-
95,她们上个月到底私藏了什么核武?,+
96,什么核武她们上个月到底私藏了?,-
97,他们上个月到底满足了什么需求?,+
98,什么需求他们上个月到底满足了?,-
99,你们上个月到底攀上了什么巅峰?,+
100,什么巅峰你们上个月到底攀上了?,-
101,你们上个月究竟任用了什么官员?,+
102,什么官员你们上个月究竟任用了?,-
103,他们上个月究竟举办了什么运动会?,+
104,什么运动会他们上个月究竟举办了?,-
105,她上周究竟产生培育了什么阶级?,+
106,什么阶级她上周究竟产生培育了?,-
107,他们上个月究竟搭上了什么顺风船?,+
108,什么顺风船他们上个月究竟搭上了?,-
109,她们上个月到底关闭了什么道路?,+
110,什么道路她们上个月到底关闭了?,-
111,他们上个月究竟造成了什么事故?,+
112,什么事故他们上个月究竟造成了?,-
113,她们上个月到底顶住了什么压力?,+
114,什么压力她们上个月到底顶住了?,-
115,他们上个月到底焚烧了什么棺材?,+
116,什么棺材他们上个月到底焚烧了?,-
117,他们上个月到底实现了什么双赢?,+
118,什么双赢他们上个月到底实现了?,-
119,你们上个月究竟赞成了什么动议?,+
120,什么动议你们上个月究竟赞成了?,-
121,你们上个月究竟扩大了什么开放?,+
122,什么开放你们上个月究竟扩大了?,-
123,他们上个月究竟提高了什么竞争力?,+
124,什么竞争力他们上个月究竟提高了?,-
125,她们上个月究竟问问了什么truck?,+
126,什么truck她们上个月究竟问问了?,-
127,你们上个月到底制造了什么效果?,+
128,什么效果你们上个月到底制造了?,-
129,她们上个月到底荣坐了什么地王?,+
130,什么地王她们上个月到底荣坐了?,-
131,他们上个月到底争夺了什么位置?,+
132,什么位置他们上个月到底争夺了?,-
133,你上个月到底占领侵吞了什么领土?,+
134,什么领土你上个月到底占领侵吞了?,-
135,她们上个月到底闻名了什么中外?,+
136,什么中外她们上个月到底闻名了?,-
137,他们上个月到底深化了什么改革?,+
138,什么改革他们上个月到底深化了?,-
139,你们上个月究竟观察了什么方面?,+
140,什么方面你们上个月究竟观察了?,-
141,他们前天究竟进化成了什么人?,+
142,什么人他们前天究竟进化成了?,-
143,他们前天究竟打骂体罚了什么学生?,+
144,什么学生他们前天究竟打骂体罚了?,-
