,blimp_n_sub
irregular_plural_subject_verb_agreement_2,205.0
left_branch_island_echo_question,3.0
expletive_it_object_raising,247.0
animate_subject_passive,177.0
transitive,306.0
regular_plural_subject_verb_agreement_2,176.0
irregular_plural_subject_verb_agreement_1,187.0
wh_questions_subject_gap,156.0
passive_2,232.0
wh_vs_that_with_gap,150.0
npi_present_1,117.0
determiner_noun_agreement_with_adj_irregular_1,241.0
principle_A_domain_1,14.0
principle_A_case_1,149.0
only_npi_scope,67.0
irregular_past_participle_verbs,139.0
passive_1,179.0
ellipsis_n_bar_1,67.0
wh_island,18.0
determiner_noun_agreement_irregular_1,224.0
distractor_agreement_relative_clause,189.0
principle_A_case_2,221.0
wh_vs_that_no_gap_long_distance,117.0
distractor_agreement_relational_noun,104.0
sentential_subject_island,0.0
wh_vs_that_with_gap_long_distance,73.0
wh_questions_object_gap,15.0
npi_present_2,195.0
drop_argument,194.0
determiner_noun_agreement_with_adjective_1,222.0
existential_there_subject_raising,196.0
wh_questions_subject_gap_long_distance,9.0
determiner_noun_agreement_with_adj_irregular_2,246.0
coordinate_structure_constraint_object_extraction,17.0
only_npi_licensor_present,81.0
existential_there_quantifiers_2,43.0
determiner_noun_agreement_1,213.0
regular_plural_subject_verb_agreement_1,187.0
wh_vs_that_no_gap,142.0
ellipsis_n_bar_2,97.0
principle_A_domain_2,144.0
adjunct_island,1.0
determiner_noun_agreement_with_adj_2,233.0
intransitive,174.0
principle_A_domain_3,100.0
animate_subject_trans,132.0
matrix_question_npi_licensor_present,0.0
complex_NP_island,7.0
existential_there_quantifiers_1,189.0
irregular_past_participle_adjectives,70.0
determiner_noun_agreement_irregular_2,220.0
principle_A_reconstruction,1.0
causative,202.0
existential_there_object_raising,188.0
superlative_quantifiers_1,17.0
determiner_noun_agreement_2,207.0
tough_vs_raising_1,166.0
anaphor_gender_agreement,254.0
coordinate_structure_constraint_complex_left_branch,88.0
principle_A_c_command,80.0
tough_vs_raising_2,107.0
inchoative,173.0
sentential_negation_npi_licensor_present,96.0
left_branch_island_simple_question,67.0
superlative_quantifiers_2,100.0
sentential_negation_npi_scope,24.0
anaphor_number_agreement,256.0
