,blimp_n_sub
irregular_plural_subject_verb_agreement_2,60.0
left_branch_island_echo_question,2.0
expletive_it_object_raising,86.0
animate_subject_passive,140.0
transitive,170.0
regular_plural_subject_verb_agreement_2,61.0
irregular_plural_subject_verb_agreement_1,77.0
wh_questions_subject_gap,37.0
passive_2,71.0
wh_vs_that_with_gap,53.0
npi_present_1,24.0
determiner_noun_agreement_with_adj_irregular_1,66.0
principle_A_domain_1,6.0
principle_A_case_1,65.0
only_npi_scope,4.0
irregular_past_participle_verbs,54.0
passive_1,55.0
ellipsis_n_bar_1,15.0
wh_island,2.0
determiner_noun_agreement_irregular_1,75.0
distractor_agreement_relative_clause,67.0
principle_A_case_2,71.0
wh_vs_that_no_gap_long_distance,53.0
distractor_agreement_relational_noun,58.0
sentential_subject_island,0.0
wh_vs_that_with_gap_long_distance,18.0
wh_questions_object_gap,9.0
npi_present_2,38.0
drop_argument,72.0
determiner_noun_agreement_with_adjective_1,68.0
existential_there_subject_raising,50.0
wh_questions_subject_gap_long_distance,12.0
determiner_noun_agreement_with_adj_irregular_2,62.0
coordinate_structure_constraint_object_extraction,24.0
only_npi_licensor_present,7.0
existential_there_quantifiers_2,4.0
determiner_noun_agreement_1,85.0
regular_plural_subject_verb_agreement_1,112.0
wh_vs_that_no_gap,41.0
ellipsis_n_bar_2,12.0
principle_A_domain_2,4.0
adjunct_island,11.0
determiner_noun_agreement_with_adj_2,65.0
intransitive,106.0
principle_A_domain_3,14.0
animate_subject_trans,95.0
matrix_question_npi_licensor_present,0.0
complex_NP_island,4.0
existential_there_quantifiers_1,54.0
irregular_past_participle_adjectives,44.0
determiner_noun_agreement_irregular_2,84.0
principle_A_reconstruction,7.0
causative,117.0
existential_there_object_raising,71.0
superlative_quantifiers_1,7.0
determiner_noun_agreement_2,90.0
tough_vs_raising_1,48.0
anaphor_gender_agreement,52.0
coordinate_structure_constraint_complex_left_branch,18.0
principle_A_c_command,2.0
tough_vs_raising_2,12.0
inchoative,101.0
sentential_negation_npi_licensor_present,40.0
left_branch_island_simple_question,13.0
superlative_quantifiers_2,21.0
sentential_negation_npi_scope,15.0
anaphor_number_agreement,45.0
