,blimp_v_sub
irregular_plural_subject_verb_agreement_2,54.0
left_branch_island_echo_question,6.0
expletive_it_object_raising,55.0
animate_subject_passive,28.0
transitive,68.0
regular_plural_subject_verb_agreement_2,51.0
irregular_plural_subject_verb_agreement_1,38.0
wh_questions_subject_gap,6.0
passive_2,94.0
wh_vs_that_with_gap,34.0
npi_present_1,3.0
determiner_noun_agreement_with_adj_irregular_1,71.0
principle_A_domain_1,32.0
principle_A_case_1,19.0
only_npi_scope,6.0
irregular_past_participle_verbs,60.0
passive_1,89.0
ellipsis_n_bar_1,26.0
wh_island,37.0
determiner_noun_agreement_irregular_1,50.0
distractor_agreement_relative_clause,60.0
principle_A_case_2,55.0
wh_vs_that_no_gap_long_distance,42.0
distractor_agreement_relational_noun,32.0
sentential_subject_island,18.0
wh_vs_that_with_gap_long_distance,36.0
wh_questions_object_gap,16.0
npi_present_2,3.0
drop_argument,37.0
determiner_noun_agreement_with_adjective_1,58.0
existential_there_subject_raising,57.0
wh_questions_subject_gap_long_distance,9.0
determiner_noun_agreement_with_adj_irregular_2,61.0
coordinate_structure_constraint_object_extraction,37.0
only_npi_licensor_present,1.0
existential_there_quantifiers_2,6.0
determiner_noun_agreement_1,52.0
regular_plural_subject_verb_agreement_1,33.0
wh_vs_that_no_gap,51.0
ellipsis_n_bar_2,22.0
principle_A_domain_2,15.0
adjunct_island,8.0
determiner_noun_agreement_with_adj_2,49.0
intransitive,32.0
principle_A_domain_3,22.0
animate_subject_trans,14.0
matrix_question_npi_licensor_present,0.0
complex_NP_island,8.0
existential_there_quantifiers_1,9.0
irregular_past_participle_adjectives,42.0
determiner_noun_agreement_irregular_2,62.0
principle_A_reconstruction,11.0
causative,32.0
existential_there_object_raising,105.0
superlative_quantifiers_1,4.0
determiner_noun_agreement_2,54.0
tough_vs_raising_1,27.0
anaphor_gender_agreement,27.0
coordinate_structure_constraint_complex_left_branch,9.0
principle_A_c_command,3.0
tough_vs_raising_2,33.0
inchoative,52.0
sentential_negation_npi_licensor_present,19.0
left_branch_island_simple_question,8.0
superlative_quantifiers_2,1.0
sentential_negation_npi_scope,21.0
anaphor_number_agreement,16.0
