,blimp_v_sub
irregular_plural_subject_verb_agreement_2,153.0
left_branch_island_echo_question,4.0
expletive_it_object_raising,378.0
animate_subject_passive,93.0
transitive,356.0
regular_plural_subject_verb_agreement_2,124.0
irregular_plural_subject_verb_agreement_1,135.0
wh_questions_subject_gap,247.0
passive_2,191.0
wh_vs_that_with_gap,179.0
npi_present_1,26.0
determiner_noun_agreement_with_adj_irregular_1,224.0
principle_A_domain_1,7.0
principle_A_case_1,208.0
only_npi_scope,25.0
irregular_past_participle_verbs,139.0
passive_1,286.0
ellipsis_n_bar_1,82.0
wh_island,17.0
determiner_noun_agreement_irregular_1,216.0
distractor_agreement_relative_clause,217.0
principle_A_case_2,280.0
wh_vs_that_no_gap_long_distance,231.0
distractor_agreement_relational_noun,137.0
sentential_subject_island,7.0
wh_vs_that_with_gap_long_distance,106.0
wh_questions_object_gap,84.0
npi_present_2,52.0
drop_argument,223.0
determiner_noun_agreement_with_adjective_1,270.0
existential_there_subject_raising,152.0
wh_questions_subject_gap_long_distance,62.0
determiner_noun_agreement_with_adj_irregular_2,229.0
coordinate_structure_constraint_object_extraction,24.0
only_npi_licensor_present,58.0
existential_there_quantifiers_2,5.0
determiner_noun_agreement_1,232.0
regular_plural_subject_verb_agreement_1,154.0
wh_vs_that_no_gap,265.0
ellipsis_n_bar_2,51.0
principle_A_domain_2,121.0
adjunct_island,12.0
determiner_noun_agreement_with_adj_2,259.0
intransitive,218.0
principle_A_domain_3,77.0
animate_subject_trans,189.0
matrix_question_npi_licensor_present,0.0
complex_NP_island,10.0
existential_there_quantifiers_1,118.0
irregular_past_participle_adjectives,59.0
determiner_noun_agreement_irregular_2,193.0
principle_A_reconstruction,2.0
causative,134.0
existential_there_object_raising,329.0
superlative_quantifiers_1,11.0
determiner_noun_agreement_2,201.0
tough_vs_raising_1,203.0
anaphor_gender_agreement,110.0
coordinate_structure_constraint_complex_left_branch,68.0
principle_A_c_command,36.0
tough_vs_raising_2,103.0
inchoative,139.0
sentential_negation_npi_licensor_present,67.0
left_branch_island_simple_question,56.0
superlative_quantifiers_2,58.0
sentential_negation_npi_scope,33.0
anaphor_number_agreement,177.0
