,blimp_v_sub
irregular_plural_subject_verb_agreement_2,25.0
left_branch_island_echo_question,10.0
expletive_it_object_raising,47.0
animate_subject_passive,45.0
transitive,45.0
regular_plural_subject_verb_agreement_2,19.0
irregular_plural_subject_verb_agreement_1,15.0
wh_questions_subject_gap,16.0
passive_2,46.0
wh_vs_that_with_gap,7.0
npi_present_1,7.0
determiner_noun_agreement_with_adj_irregular_1,35.0
principle_A_domain_1,11.0
principle_A_case_1,27.0
only_npi_scope,4.0
irregular_past_participle_verbs,69.0
passive_1,46.0
ellipsis_n_bar_1,16.0
wh_island,28.0
determiner_noun_agreement_irregular_1,30.0
distractor_agreement_relative_clause,24.0
principle_A_case_2,24.0
wh_vs_that_no_gap_long_distance,33.0
distractor_agreement_relational_noun,17.0
sentential_subject_island,16.0
wh_vs_that_with_gap_long_distance,3.0
wh_questions_object_gap,25.0
npi_present_2,6.0
drop_argument,10.0
determiner_noun_agreement_with_adjective_1,41.0
existential_there_subject_raising,20.0
wh_questions_subject_gap_long_distance,19.0
determiner_noun_agreement_with_adj_irregular_2,36.0
coordinate_structure_constraint_object_extraction,19.0
only_npi_licensor_present,9.0
existential_there_quantifiers_2,9.0
determiner_noun_agreement_1,40.0
regular_plural_subject_verb_agreement_1,25.0
wh_vs_that_no_gap,31.0
ellipsis_n_bar_2,22.0
principle_A_domain_2,8.0
adjunct_island,20.0
determiner_noun_agreement_with_adj_2,39.0
intransitive,11.0
principle_A_domain_3,8.0
animate_subject_trans,15.0
matrix_question_npi_licensor_present,1.0
complex_NP_island,24.0
existential_there_quantifiers_1,37.0
irregular_past_participle_adjectives,3.0
determiner_noun_agreement_irregular_2,35.0
principle_A_reconstruction,30.0
causative,16.0
existential_there_object_raising,33.0
superlative_quantifiers_1,6.0
determiner_noun_agreement_2,39.0
tough_vs_raising_1,23.0
anaphor_gender_agreement,18.0
coordinate_structure_constraint_complex_left_branch,19.0
principle_A_c_command,10.0
tough_vs_raising_2,15.0
inchoative,14.0
sentential_negation_npi_licensor_present,25.0
left_branch_island_simple_question,18.0
superlative_quantifiers_2,12.0
sentential_negation_npi_scope,13.0
anaphor_number_agreement,28.0
