,blimp_v_sub
irregular_plural_subject_verb_agreement_2,169.0
left_branch_island_echo_question,2.0
expletive_it_object_raising,305.0
animate_subject_passive,138.0
transitive,380.0
regular_plural_subject_verb_agreement_2,151.0
irregular_plural_subject_verb_agreement_1,145.0
wh_questions_subject_gap,259.0
passive_2,272.0
wh_vs_that_with_gap,91.0
npi_present_1,61.0
determiner_noun_agreement_with_adj_irregular_1,226.0
principle_A_domain_1,28.0
principle_A_case_1,151.0
only_npi_scope,83.0
irregular_past_participle_verbs,151.0
passive_1,252.0
ellipsis_n_bar_1,118.0
wh_island,13.0
determiner_noun_agreement_irregular_1,197.0
distractor_agreement_relative_clause,221.0
principle_A_case_2,208.0
wh_vs_that_no_gap_long_distance,68.0
distractor_agreement_relational_noun,161.0
sentential_subject_island,3.0
wh_vs_that_with_gap_long_distance,54.0
wh_questions_object_gap,104.0
npi_present_2,117.0
drop_argument,214.0
determiner_noun_agreement_with_adjective_1,229.0
existential_there_subject_raising,195.0
wh_questions_subject_gap_long_distance,9.0
determiner_noun_agreement_with_adj_irregular_2,211.0
coordinate_structure_constraint_object_extraction,14.0
only_npi_licensor_present,136.0
existential_there_quantifiers_2,4.0
determiner_noun_agreement_1,224.0
regular_plural_subject_verb_agreement_1,220.0
wh_vs_that_no_gap,106.0
ellipsis_n_bar_2,59.0
principle_A_domain_2,126.0
adjunct_island,7.0
determiner_noun_agreement_with_adj_2,233.0
intransitive,206.0
principle_A_domain_3,56.0
animate_subject_trans,99.0
matrix_question_npi_licensor_present,0.0
complex_NP_island,2.0
existential_there_quantifiers_1,206.0
irregular_past_participle_adjectives,63.0
determiner_noun_agreement_irregular_2,153.0
principle_A_reconstruction,3.0
causative,193.0
existential_there_object_raising,291.0
superlative_quantifiers_1,48.0
determiner_noun_agreement_2,219.0
tough_vs_raising_1,134.0
anaphor_gender_agreement,217.0
coordinate_structure_constraint_complex_left_branch,68.0
principle_A_c_command,129.0
tough_vs_raising_2,88.0
inchoative,159.0
sentential_negation_npi_licensor_present,126.0
left_branch_island_simple_question,55.0
superlative_quantifiers_2,34.0
sentential_negation_npi_scope,57.0
anaphor_number_agreement,229.0
