stim1,stim2,stim3
1,三名女主持人们正在骑自行车去她们自己。,+
2,三名女主持人们正在骑自行车去她自己。,-
3,五名女学生们观察过她们自己。,+
4,五名女学生们观察过她自己。,-
5,九名女学者们正在骑自行车去她们自己。,+
6,九名女学者们正在骑自行车去她自己。,-
7,九名女导演们狩过猎她们自己。,+
8,九名女导演们狩过猎她自己。,-
9,六名女驾驶员们开车去过她们自己。,+
10,六名女驾驶员们开车去过她自己。,-
11,四名女医生们正在担心她们自己。,+
12,四名女医生们正在担心她自己。,-
13,五名女导购们卖了她们自己。,+
14,五名女导购们卖了她自己。,-
15,九名女导购们正在拿她们自己。,+
16,九名女导购们正在拿她自己。,-
17,八名女木匠们听了她们自己。,+
18,八名女木匠们听了她自己。,-
19,五名女会计们爱过她们自己。,+
20,五名女会计们爱过她自己。,-
21,四名女警察们拥有过她们自己。,+
22,四名女警察们拥有过她自己。,-
23,八名女校长们狩过猎她们自己。,+
24,八名女校长们狩过猎她自己。,-
25,四名女警察们正在通过她们自己。,+
26,四名女警察们正在通过她自己。,-
27,八名女售票员们烦扰了她们自己。,+
28,八名女售票员们烦扰了她自己。,-
29,八名女导购们写了她们自己。,+
30,八名女导购们写了她自己。,-
31,四名女店员们带了她们自己。,+
32,四名女店员们带了她自己。,-
33,三名女学者们现在看起来像她们自己。,+
34,三名女学者们现在看起来像她自己。,-
35,三名女护士们正在返回她们自己。,+
36,三名女护士们正在返回她自己。,-
37,三名女警察们正在检查她们自己。,+
38,三名女警察们正在检查她自己。,-
39,五名女科学家们震惊了她们自己。,+
40,五名女科学家们震惊了她自己。,-
41,九名女驾驶员们过去像她们自己。,+
42,九名女驾驶员们过去像她自己。,-
43,六名女负责人们争论过她们自己。,+
44,六名女负责人们争论过她自己。,-
45,三名女领班们通过了她们自己。,+
46,三名女领班们通过了她自己。,-
47,九名女学生们讨论了她们自己。,+
48,九名女学生们讨论了她自己。,-
49,七名女驾驶员们正在打扰她们自己。,+
50,七名女驾驶员们正在打扰她自己。,-
51,九名女售货员们正在描述她们自己。,+
52,九名女售货员们正在描述她自己。,-
53,三名女服务员们佩服过她们自己。,+
54,三名女服务员们佩服过她自己。,-
55,五名女助理们通过了她们自己。,+
56,五名女助理们通过了她自己。,-
57,三名女飞行员们观察过她们自己。,+
58,三名女飞行员们观察过她自己。,-
59,八名女演员们佩服着她们自己。,+
60,八名女演员们佩服着她自己。,-
61,六名女经理们侮辱了她们自己。,+
62,六名女经理们侮辱了她自己。,-
63,八名女地勤们正在争论她们自己。,+
64,八名女地勤们正在争论她自己。,-
65,六名女售票员们快到达她们自己。,+
66,六名女售票员们快到达她自己。,-
67,七名女警察们游览了她们自己。,+
68,七名女警察们游览了她自己。,-
69,三名女主持人们去了她们自己。,+
70,三名女主持人们去了她自己。,-
71,五名女警察们现在看起来像她们自己。,+
72,五名女警察们现在看起来像她自己。,-
73,四名女会计们正在写她们自己。,+
74,四名女会计们正在写她自己。,-
75,七名女会计们隐瞒了她们自己。,+
76,七名女会计们隐瞒了她自己。,-
77,九名女演员们正在拜访她们自己。,+
78,九名女演员们正在拜访她自己。,-
79,四名女保安们听了她们自己。,+
80,四名女保安们听了她自己。,-
