stim1,stim2,stim3
1,女医生正在通过她自己。,+
2,女医生正在通过他自己。,-
3,女队员攻击了她自己。,+
4,女队员攻击了他自己。,-
5,女店员顺便拜访了她自己。,+
6,女店员顺便拜访了他自己。,-
7,女地勤正在打扰她自己。,+
8,女地勤正在打扰他自己。,-
9,女公务员清洗过她自己。,+
10,女公务员清洗过他自己。,-
11,女会计正在注意她自己。,+
12,女会计正在注意他自己。,-
13,女服务员正在拥抱她自己。,+
14,女服务员正在拥抱他自己。,-
15,女校长正在麻烦她自己。,+
16,女校长正在麻烦他自己。,-
17,女出纳员吓过她自己。,+
18,女出纳员吓过他自己。,-
19,女店员正在扫描她自己。,+
20,女店员正在扫描他自己。,-
21,女校长正在去她自己。,+
22,女校长正在去他自己。,-
23,女农民正在狩猎她自己。,+
24,女农民正在狩猎他自己。,-
25,女维修工正在退出她自己。,+
26,女维修工正在退出他自己。,-
27,女会计到达了她自己。,+
28,女会计到达了他自己。,-
29,女校长检查过她自己。,+
30,女校长检查过他自己。,-
31,女负责人正在攻击她自己。,+
32,女负责人正在攻击他自己。,-
33,女学生正在欣赏她自己。,+
34,女学生正在欣赏他自己。,-
35,女地勤正在烦扰她自己。,+
36,女地勤正在烦扰他自己。,-
37,女歌手离开了她自己。,+
38,女歌手离开了他自己。,-
39,女售票员正在描述她自己。,+
40,女售票员正在描述他自己。,-
41,女工程师正在研究她自己。,+
42,女工程师正在研究他自己。,-
43,女厨师质疑过她自己。,+
44,女厨师质疑过他自己。,-
45,女服务员帮助了她自己。,+
46,女服务员帮助了他自己。,-
47,女导演拥有过她自己。,+
48,女导演拥有过他自己。,-
49,女服务员探索过她自己。,+
50,女服务员探索过他自己。,-
51,女保安正在描述她自己。,+
52,女保安正在描述他自己。,-
53,女导演拿了她自己。,+
54,女导演拿了他自己。,-
55,女出纳员厌恶过她自己。,+
56,女出纳员厌恶过他自己。,-
57,女厨师打扰了她自己。,+
58,女厨师打扰了他自己。,-
59,女学者正在批评她自己。,+
60,女学者正在批评他自己。,-
61,女飞行员隐瞒了她自己。,+
62,女飞行员隐瞒了他自己。,-
63,女工程师尊重过她自己。,+
64,女工程师尊重过他自己。,-
65,女售票员探索过她自己。,+
66,女售票员探索过他自己。,-
67,女歌手拥抱了她自己。,+
68,女歌手拥抱了他自己。,-
69,女学者侮辱了她自己。,+
70,女学者侮辱了他自己。,-
71,女保安正在攻击她自己。,+
72,女保安正在攻击他自己。,-
73,女经理打扰了她自己。,+
74,女经理打扰了他自己。,-
75,女矿麻烦了她自己。,+
76,女矿麻烦了他自己。,-
77,女农民吓过她自己。,+
78,女农民吓过他自己。,-
79,女驾驶员接近了她自己。,+
80,女驾驶员接近了他自己。,-
81,女矿正在隐瞒她自己。,+
82,女矿正在隐瞒他自己。,-
83,女护士观察过她自己。,+
84,女护士观察过他自己。,-
85,女演员正在攻击她自己。,+
86,女演员正在攻击他自己。,-
87,女警察正在激怒她自己。,+
88,女警察正在激怒他自己。,-
89,女制片人正在吓她自己。,+
90,女制片人正在吓他自己。,-
91,女医生尊重过她自己。,+
92,女医生尊重过他自己。,-
93,女售货员正在震惊她自己。,+
94,女售货员正在震惊他自己。,-
95,女飞行员正在烦扰她自己。,+
96,女飞行员正在烦扰他自己。,-
97,女农民侮辱了她自己。,+
98,女农民侮辱了他自己。,-
99,女歌手正在欣赏她自己。,+
100,女歌手正在欣赏他自己。,-
101,女歌手看起来像她自己。,+
102,女歌手看起来像他自己。,-
103,女工程师正在清洗她自己。,+
104,女工程师正在清洗他自己。,-
