,blimp_n_sub
irregular_plural_subject_verb_agreement_2,269.0
left_branch_island_echo_question,8.0
expletive_it_object_raising,331.0
animate_subject_passive,122.0
transitive,397.0
regular_plural_subject_verb_agreement_2,255.0
irregular_plural_subject_verb_agreement_1,249.0
wh_questions_subject_gap,254.0
passive_2,171.0
wh_vs_that_with_gap,185.0
npi_present_1,20.0
determiner_noun_agreement_with_adj_irregular_1,285.0
principle_A_domain_1,11.0
principle_A_case_1,315.0
only_npi_scope,41.0
irregular_past_participle_verbs,184.0
passive_1,273.0
ellipsis_n_bar_1,78.0
wh_island,22.0
determiner_noun_agreement_irregular_1,278.0
distractor_agreement_relative_clause,313.0
principle_A_case_2,307.0
wh_vs_that_no_gap_long_distance,246.0
distractor_agreement_relational_noun,259.0
sentential_subject_island,9.0
wh_vs_that_with_gap_long_distance,83.0
wh_questions_object_gap,65.0
npi_present_2,52.0
drop_argument,258.0
determiner_noun_agreement_with_adjective_1,312.0
existential_there_subject_raising,249.0
wh_questions_subject_gap_long_distance,57.0
determiner_noun_agreement_with_adj_irregular_2,305.0
coordinate_structure_constraint_object_extraction,55.0
only_npi_licensor_present,82.0
existential_there_quantifiers_2,14.0
determiner_noun_agreement_1,316.0
regular_plural_subject_verb_agreement_1,268.0
wh_vs_that_no_gap,304.0
ellipsis_n_bar_2,76.0
principle_A_domain_2,125.0
adjunct_island,21.0
determiner_noun_agreement_with_adj_2,313.0
intransitive,269.0
principle_A_domain_3,72.0
animate_subject_trans,252.0
matrix_question_npi_licensor_present,2.0
complex_NP_island,16.0
existential_there_quantifiers_1,177.0
irregular_past_participle_adjectives,75.0
determiner_noun_agreement_irregular_2,256.0
principle_A_reconstruction,6.0
causative,209.0
existential_there_object_raising,254.0
superlative_quantifiers_1,13.0
determiner_noun_agreement_2,289.0
tough_vs_raising_1,200.0
anaphor_gender_agreement,127.0
coordinate_structure_constraint_complex_left_branch,100.0
principle_A_c_command,86.0
tough_vs_raising_2,172.0
inchoative,176.0
sentential_negation_npi_licensor_present,122.0
left_branch_island_simple_question,74.0
superlative_quantifiers_2,83.0
sentential_negation_npi_scope,75.0
anaphor_number_agreement,247.0
