stim1,stim2,stim3
1,约５万名保安人员。,+
2,约５万盘保安人员。,-
3,一两次经济危机。,+
4,一两篇经济危机。,-
5,事故的这段路。,+
6,事故的这般路。,-
7,演播室的两位专家。,+
8,演播室的两罐专家。,-
9,其中１具尸体。,+
10,其中１根尸体。,-
11,台湾一台电视节目。,+
12,台湾一日电视节目。,-
13,每家店前停的车。,+
14,每辈店前停的车。,-
15,一批外国银行和保险公司。,+
16,一帮子外国银行和保险公司。,-
17,一处商业用房。,+
18,一户商业用房。,-
19,全年石油收入。,+
20,全端石油收入。,-
21,不到一年时间。,+
22,不到一季时间。,-
23,两套动力手段。,+
24,两天动力手段。,-
25,这次枪杀事件。,+
26,这枝枪杀事件。,-
27,一至四号种子。,+
28,一至四端种子。,-
29,法国巴黎的新一代宽带网络。,+
30,法国巴黎的新一顿宽带网络。,-
31,４名机组人员。,+
32,４盆机组人员。,-
33,一场大选危机。,+
34,一门子大选危机。,-
35,通过马里一家银行。,+
36,通过马里一吨银行。,-
37,逾一百四十宗山泥倾泻报告。,+
38,逾一百四十具山泥倾泻报告。,-
39,此间最新一项投资环境调查。,+
40,此间最新一件投资环境调查。,-
41,印度官员的这番讲话。,+
42,印度官员的这麦讲话。,-
43,四十多年历史。,+
44,四十多波历史。,-
45,二千四百年历史。,+
46,二千四百件历史。,-
47,挺快乐的一段日子。,+
48,挺快乐的一纸日子。,-
49,美国的这次军事行动。,+
50,美国的这周军事行动。,-
51,中国近些年经济发展的历史。,+
52,中国近些幢经济发展的历史。,-
53,这个参拜这件事情。,+
54,这个参拜这家事情。,-
55,这次马拉松会谈。,+
56,这篇马拉松会谈。,-
57,一位智者和斗士。,+
58,一群智者和斗士。,-
59,广州一家留学机构。,+
60,广州一套留学机构。,-
61,各组竞选团队。,+
62,各纸竞选团队。,-
63,２２名参议员。,+
64,２２句参议员。,-
65,彰化一名男子。,+
66,彰化一公里男子。,-
67,共产党的干部、各级政府官员。,+
68,共产党的干部、各胞政府官员。,-
69,８００亿元人民币。,+
70,８００亿里人民币。,-
71,全区各项存款。,+
72,全区各美元存款。,-
73,过年这段时间。,+
74,过年这方时间。,-
75,林中斌《核霸》这本书。,+
76,林中斌《核霸》这波书。,-
77,萨尔图区一位小学四年级的学生。,+
78,萨尔图区一位小学四年级的学生。,-
79,奥地利一处滑雪胜地。,+
80,奥地利一棵滑雪胜地。,-
81,女子１万米跑决赛。,+
82,女子１万块跑决赛。,-
83,当事系统的高一级系统。,+
84,当事系统的高一美元系统。,-
85,新一代宽带网络。,+
86,新一档宽带网络。,-
87,多次抗议示威活动。,+
88,多场抗议示威活动。,-
89,塔反对派武装部队的两名军官。,+
90,塔反对派武装部队的两丈军官。,-
91,地方各级人民政府。,+
92,地方各匹人民政府。,-
93,三十万千瓦火电机组。,+
94,三十万分钟火电机组。,-
95,１９７名体育记者。,+
96,１９７把体育记者。,-
97,那个上面它它附的两本书。,+
98,那个上面它它附的两发书。,-
99,相当一段时间。,+
100,相当一份时间。,-
101,每家健身中心的设备。,+
102,每间健身中心的设备。,-
103,超过四百名学生。,+
104,超过四百旬学生。,-
105,群众付出的数百亩土地。,+
106,群众付出的数百等土地。,-
107,三峡二期工程最大标段。,+
108,三峡二出工程最大标段。,-
109,多间学校共八百名学生。,+
110,多班学校共八百班学生。,-
111,十一月二十二号的一篇文章。,+
112,十一月二十二号的一夜文章。,-
113,鼻笛这项乐器。,+
114,鼻笛这卮乐器。,-
115,沿河各级防汛部门。,+
116,沿河各把防汛部门。,-
117,三所学校名单。,+
118,三间学校名单。,-
119,一名犹太定居者。,+
120,一股犹太定居者。,-
121,大熊猫双胞胎２只幼崽。,+
122,大熊猫双胞胎２起幼崽。,-
123,六胞胎抢救组。,+
124,六期胎抢救组。,-
