,blimp_n_sub
irregular_plural_subject_verb_agreement_2,53.0
left_branch_island_echo_question,1.0
expletive_it_object_raising,60.0
animate_subject_passive,56.0
transitive,126.0
regular_plural_subject_verb_agreement_2,63.0
irregular_plural_subject_verb_agreement_1,58.0
wh_questions_subject_gap,17.0
passive_2,37.0
wh_vs_that_with_gap,28.0
npi_present_1,8.0
determiner_noun_agreement_with_adj_irregular_1,71.0
principle_A_domain_1,7.0
principle_A_case_1,99.0
only_npi_scope,5.0
irregular_past_participle_verbs,44.0
passive_1,69.0
ellipsis_n_bar_1,11.0
wh_island,4.0
determiner_noun_agreement_irregular_1,72.0
distractor_agreement_relative_clause,64.0
principle_A_case_2,46.0
wh_vs_that_no_gap_long_distance,48.0
distractor_agreement_relational_noun,43.0
sentential_subject_island,7.0
wh_vs_that_with_gap_long_distance,18.0
wh_questions_object_gap,3.0
npi_present_2,10.0
drop_argument,68.0
determiner_noun_agreement_with_adjective_1,90.0
existential_there_subject_raising,34.0
wh_questions_subject_gap_long_distance,3.0
determiner_noun_agreement_with_adj_irregular_2,70.0
coordinate_structure_constraint_object_extraction,11.0
only_npi_licensor_present,13.0
existential_there_quantifiers_2,5.0
determiner_noun_agreement_1,91.0
regular_plural_subject_verb_agreement_1,88.0
wh_vs_that_no_gap,41.0
ellipsis_n_bar_2,28.0
principle_A_domain_2,19.0
adjunct_island,11.0
determiner_noun_agreement_with_adj_2,87.0
intransitive,88.0
principle_A_domain_3,22.0
animate_subject_trans,53.0
matrix_question_npi_licensor_present,1.0
complex_NP_island,0.0
existential_there_quantifiers_1,78.0
irregular_past_participle_adjectives,22.0
determiner_noun_agreement_irregular_2,58.0
principle_A_reconstruction,1.0
causative,71.0
existential_there_object_raising,34.0
superlative_quantifiers_1,0.0
determiner_noun_agreement_2,98.0
tough_vs_raising_1,41.0
anaphor_gender_agreement,42.0
coordinate_structure_constraint_complex_left_branch,14.0
principle_A_c_command,17.0
tough_vs_raising_2,16.0
inchoative,72.0
sentential_negation_npi_licensor_present,44.0
left_branch_island_simple_question,13.0
superlative_quantifiers_2,9.0
sentential_negation_npi_scope,14.0
anaphor_number_agreement,31.0
